A.S. 91026 v3,4.00 cr ,91026 (I) Apply numeric reasoning in solving problems,Mathematics,,10MAA,Mathematics,88
A.S. 91030 v3,3.00 cr ,91030 (I) Apply measurement in solving problems,Mathematics,,10MAA,Mathematics,88
A.S. 90976 v3,3.00 cr ,Accounting 1.1 - Demonstrate understanding of accounting concepts for small entities,Accounting,External,11ACC,Business Education,52
A.S. 90977 v3,5.00 cr ,90977 (I) Process financial transactions for a small entity,Accounting,,11ACC,Business Education,52
A.S. 90978 v3,5.00 cr ,Accounting 1.3 - Prepare financial statements for sole proprietors,Accounting,External,11ACC,Business Education,52
A.S. 90979 v3,4.00 cr ,90979 (I) Prepare financial information for a community organisation's annual general meeting,Accounting,,11ACC,Business Education,52
A.S. 90980 v3,4.00 cr ,Accounting 1.5 - Interpret accounting information for sole proprietors,Accounting,External,11ACC,Business Education,52
A.S. 90982 v3,4.00 cr ,90982 (I) Demonstrate understanding of cash management for a small entity,Accounting,,11ACC,Business Education,52
A.S. 90155 v4,4.00 cr ,90155 (I) Demonstrate knowledge of pasture/crop management practices,Science,,11AGRz,Agriculture and Horticulture,19
A.S. 90160 v5,3.00 cr ,90160 (I) Demonstrate knowledge of impacts on the environment from farming,Science,,11AGRz,Agriculture and Horticulture,19
A.S. 90919 v3,4.00 cr ,Agricultural and Horticultural Science 1.3 - Demonstrate knowledge of soil management practices,Science,External,11AGRz,Agriculture and Horticulture,19
A.S. 90920 v2,3.00 cr ,90920 (I) Demonstrate knowledge of the geographic distribution of primary production,Science,,11AGRz,Agriculture and Horticulture,19
A.S. 90921 v2,5.00 cr ,Agricultural and Horticultural Science 1.6 - Demonstrate knowledge of livestock management practices,Science,External,11AGRz,Agriculture and Horticulture,19
A.S. 90914 v3,4.00 cr ,90914 (I) Use drawing methods to record information using wet and dry media,Visual Arts,,11ARTz,Art,59
A.S. 90915 v2,6.00 cr ,90915 (I) Use drawing conventions to develop work in more than one field of practice,Visual Arts,,11ARTz,Art,59
A.S. 90916 v3,12.00 cr ,"Visual Arts 1.4 - Produce a body of work informed by established practice, which develops ideas, using a range of media",Visual Arts,External,11ARTz,Art,59
A.S. 90002 v6,6.00 cr ,90002 (I) Perform dance sequences,Dance,,11DAN,Drama/Dance,15
A.S. 90005 v5,4.00 cr ,Dance 1.6 - Demonstrate knowledge of a dance genre or style,Dance,External,11DAN,Drama/Dance,15
A.S. 90858 v2,6.00 cr ,90858 (I) Compose dance sequences for given briefs,Dance,,11DAN,Drama/Dance,15
A.S. 90859 v3,4.00 cr ,90859 (I) Demonstrate ensemble skills in a dance,Dance,,11DAN,Drama/Dance,15
A.S. 90860 v3,4.00 cr ,90860 (I) Demonstrate understanding of the elements of dance,Dance,,11DAN,Drama/Dance,15
A.S. 90861 v2,4.00 cr ,Dance 1.5 - Demonstrate understanding of a dance performance,Dance,External,11DAN,Drama/Dance,15
A.S. 91046 v3,6.00 cr ,91046 (I) Use design ideas to produce a conceptual design,Technology,,11DGTz,Computing,53
A.S. 91047 v3,6.00 cr ,91047 (I) Undertake development to make a prototype to address a brief,Technology,,11DGTz,Computing,53
A.S. 91073 v3,4.00 cr ,91073 (I) Implement basic procedures to produce a specified digital media outcome,Technology,,11DGTz,Computing,53
A.S. 91076 v4,3.00 cr ,91076 (I) Construct a basic computer program for a specified task,Technology,,11DGTz,Computing,53
U.S. 25659 v2,2.00 cr ,up language with a text editor,Computing,,11DGTz,Computing,53
A.S. 90006 v6,4.00 cr ,90006 (I) Apply drama techniques in a dramatic context,Drama,,11DRA,Drama/Dance,36
A.S. 90009 v6,5.00 cr ,90009 (I) Perform an acting role in a scripted production,Drama,,11DRA,Drama/Dance,36
A.S. 90011 v6,4.00 cr ,Drama 1.7 - Demonstrate understanding of the use of drama aspects within live performance,Drama,External,11DRA,Drama/Dance,36
A.S. 90997 v2,5.00 cr ,90997 (I) Devise and perform a drama,Drama,,11DRA,Drama/Dance,36
A.S. 90998 v2,4.00 cr ,Drama 1.3 - Demonstrate understanding of features of a drama/theatre form,Drama,External,11DRA,Drama/Dance,36
A.S. 90999 v3,4.00 cr ,90999 (I) Use features of a drama/theatre form in a performance,Drama,,11DRA,Drama/Dance,36
A.S. 91063 v4,3.00 cr ,Design and Visual Communication 1.30 - Produce freehand sketches that communicate design ideas,Technology,External,11DVCz,Graphics,42
A.S. 91064 v4,3.00 cr ,"Design and Visual Communication 1.31 - Produce instrumental, multi-view orthographic drawings that communicate technical features of design ideas",Technology,External,11DVCz,Graphics,42
A.S. 91065 v4,3.00 cr ,Design and Visual Communication 1.32 - Produce instrumental paraline drawings to communicate design ideas,Technology,External,11DVCz,Graphics,42
