A.S. 90914 v3,4.00 cr ,Visual Arts 1.2 - Use drawing methods and skills for recording information using wet and dry media,Visual Arts,,ALA4,Arts,
A.S. 90917 v3,4.00 cr ,Visual Arts 1.5 - Produce a finished work that demonstrates skills appropriate to cultural conventions,Visual Arts,,ALA4,Arts,
A.S. 90915 v1,6.00 cr ,Visual Arts 1.3 - Use drawing conventions to develop work in more than one field of practice,Visual Arts,,APD6,Arts,36
A.S. 90916 v3,12.00 cr ,"Visual Arts 1.4 - Produce a body of work informed by established practice, which develops ideas, using a range of media",Visual Arts,External,APD6,Arts,37
A.S. 90917 v2,4.00 cr ,Visual Arts 1.5 - Produce a finished work that demonstrates skills appropriate to cultural conventions,Visual Arts,,APD6,Arts,48
A.S. 90994 v1,6.00 cr ,Media Studies 1.6 - Complete a media product from a design and plan using a specified range of conventions,Social Science Studies,,APD6,Arts,22
A.S. 91017 v2,4.00 cr ,Art History 1.3 - Demonstrate understanding of links between context(s) and art works,Visual Arts,,APD6,Arts,42
A.S. 91068 v3,6.00 cr ,Design and Visual Communication 1.35 - Undertake development of design ideas through graphics practice,Technology,,APD6,Arts,21
A.S. 91183 v1,4.00 cr ,Art History 2.4 - Examine how media are used to create effects in art works,Visual Arts,,APH7,Arts,
A.S. 91307 v1,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to photography,Visual Arts,,APH7,Arts,13
A.S. 91312 v1,4.00 cr ,Visual Arts 2.2 - Use drawing methods to apply knowledge of conventions appropriate to photography,Visual Arts,,APH7,Arts,13
A.S. 91317 v1,4.00 cr ,Visual Arts 2.3 - Develop ideas in a related series of drawings appropriate to established photography practice,Visual Arts,,APH7,Arts,13
A.S. 91322 v2,12.00 cr ,Visual Arts 2.4 - Produce a systematic body of work that shows understanding of art making conventions and ideas within photography,Visual Arts,External,APH7,Arts,13
A.S. 91325 v1,4.00 cr ,Visual Arts 2.5 - Produce a resolved work that demonstrates control of skills appropriate to cultural conventions,Visual Arts,,APH7,Arts,
A.S. 91442 v1,4.00 cr ,Photography 3.1 - Analyse methods and ideas from established photography practice,Visual Arts,,APH8,Arts,23
A.S. 91447 v1,4.00 cr ,Photography 3.2 - Use drawing to demonstrate understanding of conventions appropriate to photography,Visual Arts,,APH8,Arts,10
A.S. 91452 v1,4.00 cr ,Photography 3.3 - Systematically clarify ideas using drawing informed by established photography practice,Visual Arts,,APH8,Arts,10
A.S. 91457 v1,14.00 cr ,Photography 3.4 - Produce a systematic body of work that integrates conventions and regenerates ideas within photography practice,Visual Arts,External,APH8,Arts,16
A.S. 91460 v1,4.00 cr ,Visual Arts 3.5 - Produce a resolved work that demonstrates purposeful control of skills appropriate to a visual arts cultural context,Visual Arts,,APH8,Arts,
A.S. 91485 v1,4.00 cr ,Art History 3.4 - Examine the impact of media and processes on art works,Visual Arts,,APH8,Arts,9
A.S. 90913 v3,4.00 cr ,Visual Arts 1.1 - Demonstrate understanding of art works from a Maori and another cultural context using art terminology,Visual Arts,,ARA6,Arts,21
A.S. 90914 v2,4.00 cr ,Visual Arts 1.2 - Use drawing methods and skills for recording information using wet and dry media,Visual Arts,,ARA6,Arts,21
A.S. 90915 v1,6.00 cr ,Visual Arts 1.3 - Use drawing conventions to develop work in more than one field of practice,Visual Arts,,ARA6,Arts,24
A.S. 90916 v3,12.00 cr ,"Visual Arts 1.4 - Produce a body of work informed by established practice, which develops ideas, using a range of media",Visual Arts,External,ARA6,Arts,35
A.S. 90917 v3,4.00 cr ,Visual Arts 1.5 - Produce a finished work that demonstrates skills appropriate to cultural conventions,Visual Arts,,ARA6,Arts,20
A.S. 91183 v1,4.00 cr ,Art History 2.4 - Examine how media are used to create effects in art works,Visual Arts,,ARA7,Arts,
A.S. 91306 v1,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to painting,Visual Arts,,ARA7,Arts,9
A.S. 91311 v1,4.00 cr ,Visual Arts 2.2 - Use drawing methods to apply knowledge of conventions appropriate to painting,Visual Arts,,ARA7,Arts,7
A.S. 91316 v1,4.00 cr ,Visual Arts 2.3 - Develop ideas in a related series of drawings appropriate to established painting practice,Visual Arts,,ARA7,Arts,6
A.S. 91321 v2,12.00 cr ,Visual Arts 2.4 - Produce a systematic body of work that shows understanding of art making conventions and ideas within painting,Visual Arts,External,ARA7,Arts,10
A.S. 91325 v1,4.00 cr ,Visual Arts 2.5 - Produce a resolved work that demonstrates control of skills appropriate to cultural conventions,Visual Arts,,ARA7,Arts,6
A.S. 91441 v1,4.00 cr ,Painting 3.1 - Analyse methods and ideas from established painting practice,Visual Arts,,ARA8,Arts,3
A.S. 91446 v1,4.00 cr ,Painting 3.2 - Use drawing to demonstrate understanding of conventions appropriate to painting,Visual Arts,,ARA8,Arts,3
A.S. 91451 v1,4.00 cr ,Painting 3.3 - Systematically clarify ideas using drawing informed by established painting practice,Visual Arts,,ARA8,Arts,3
A.S. 91456 v1,14.00 cr ,Painting 3.4 - Produce a systematic body of work that integrates conventions and regenerates ideas within painting practice,Visual Arts,External,ARA8,Arts,3
A.S. 91460 v1,4.00 cr ,Visual Arts 3.5 - Produce a resolved work that demonstrates purposeful control of skills appropriate to a visual arts cultural context,Visual Arts,,ARA8,Arts,
A.S. 91485 v1,4.00 cr ,Art History 3.4 - Examine the impact of media and processes on art works,Visual Arts,,ARA8,Arts,4
A.S. 91183 v1,4.00 cr ,Art History 2.4 - Examine how media are used to create effects in art works,Visual Arts,,ARD7,Arts,2
A.S. 91305 v1,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to design,Visual Arts,,ARD7,Arts,3
A.S. 91310 v1,4.00 cr ,Visual Arts 2.2 - Use drawing methods to apply knowledge of conventions appropriate to design,Visual Arts,,ARD7,Arts,3
A.S. 91315 v1,4.00 cr ,Visual Arts 2.3 - Develop ideas in a related series of drawings appropriate to established design practice,Visual Arts,,ARD7,Arts,3
A.S. 91320 v2,12.00 cr ,Visual Arts 2.4 - Produce a systematic body of work that shows understanding of art making conventions and ideas within design,Visual Arts,External,ARD7,Arts,4
A.S. 91325 v1,4.00 cr ,Visual Arts 2.5 - Produce a resolved work that demonstrates control of skills appropriate to cultural conventions,Visual Arts,,ARD7,Arts,
A.S. 91440 v1,4.00 cr ,Design 3.1 - Analyse methods and ideas from established design practice,Visual Arts,,ARD8,Arts,3
A.S. 91445 v1,4.00 cr ,Design 3.2 - Use drawing to demonstrate understanding of conventions appropriate to design,Visual Arts,,ARD8,Arts,3
A.S. 91450 v1,4.00 cr ,Design 3.3 - Systematically clarify ideas using drawing informed by established design practice,Visual Arts,,ARD8,Arts,3
A.S. 91455 v1,14.00 cr ,Design 3.4 - Produce a systematic body of work that integrates conventions and regenerates ideas within design practice,Visual Arts,External,ARD8,Arts,2
A.S. 91460 v1,4.00 cr ,Visual Arts 3.5 - Produce a resolved work that demonstrates purposeful control of skills appropriate to a visual arts cultural context,Visual Arts,,ARD8,Arts,
A.S. 91485 v1,4.00 cr ,Art History 3.4 - Examine the impact of media and processes on art works,Visual Arts,,ARD8,Arts,
A.S. 91183 v2,4.00 cr ,Art History 2.4 - Examine how media are used to create effects in art works,Visual Arts,,ARH7,Arts,
A.S. 91184 v2,4.00 cr ,Art History 2.5 - Communicate understanding of an art history topic,Visual Arts,,ARH7,Arts,
A.S. 91185 v2,4.00 cr ,Art History 2.6 - Communicate a considered personal response to art works,Visual Arts,,ARH7,Arts,
A.S. 91186 v2,4.00 cr ,Art History 2.7 - Demonstrate understanding of art works in relation to their physical environments,Visual Arts,,ARH7,Arts,
A.S. 91305 v2,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to design,Visual Arts,,ARH7,Arts,
A.S. 91306 v2,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to painting,Visual Arts,,ARH7,Arts,
A.S. 91307 v2,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to photography,Visual Arts,,ARH7,Arts,
A.S. 91308 v2,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to printmaking,Visual Arts,,ARH7,Arts,
A.S. 91309 v2,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to sculpture,Visual Arts,,ARH7,Arts,
A.S. 91482 v1,4.00 cr ,Art History 3.1 - Demonstrate understanding of style in art works,Visual Arts,External,ARH8,Arts,4
A.S. 91483 v1,4.00 cr ,Art History 3.2 - Examine how meanings are communicated through art works,Visual Arts,External,ARH8,Arts,4
A.S. 91484 v1,4.00 cr ,Art History 3.3 - Examine the relationship(s) between art and context,Visual Arts,External,ARH8,Arts,4
A.S. 91485 v1,4.00 cr ,Art History 3.4 - Examine the impact of media and processes on art works,Visual Arts,,ARH8,Arts,1
A.S. 91486 v1,4.00 cr ,Art History 3.5 - Construct an argument based on interpretation of research in art history,Visual Arts,,ARH8,Arts,
A.S. 91487 v1,4.00 cr ,Art History 3.6 - Examine the different values placed on art works,Visual Arts,,ARH8,Arts,
A.S. 91488 v1,4.00 cr ,Art History 3.7 - Examine the relationship(s) between a theory and art works,Visual Arts,,ARH8,Arts,
A.S. 91489 v1,4.00 cr ,Art History 3.8 - Analyse texts about art,Visual Arts,,ARH8,Arts,
A.S. 91314 v2,4.00 cr ,Visual Arts 2.2 - Use drawing methods to apply knowledge of conventions appropriate to sculpture,Visual Arts,,ASC7,Arts,
A.S. 91319 v2,4.00 cr ,Visual Arts 2.3 - Develop ideas in a related series of drawings appropriate to established sculpture practice,Visual Arts,,ASC7,Arts,
A.S. 91324 v2,12.00 cr ,Visual Arts 2.4 - Produce a systematic body of work that shows understanding of art making conventions and ideas within sculpture,Visual Arts,External,ASC7,Arts,1
A.S. 91325 v2,4.00 cr ,Visual Arts 2.5 - Produce a resolved work that demonstrates control of skills appropriate to cultural conventions,Visual Arts,,ASC7,Arts,
A.S. 90002 v5,6.00 cr ,Dance 1.2 - Perform dance sequences,Dance,,DNC6,Arts,22
A.S. 90005 v5,4.00 cr ,Dance 1.6 - Demonstrate knowledge of a dance genre or style,Dance,External,DNC6,Arts,
A.S. 90858 v1,6.00 cr ,Dance 1.1 - Compose dance sequences for given briefs,Dance,,DNC6,Arts,25
A.S. 90859 v2,4.00 cr ,Dance 1.3 - Demonstrate ensemble skills in a dance,Dance,,DNC6,Arts,21
A.S. 90860 v2,4.00 cr ,Dance 1.4 - Demonstrate understanding of the elements of dance,Dance,,DNC6,Arts,21
A.S. 90861 v2,4.00 cr ,Dance 1.5 - Demonstrate understanding of a dance performance,Dance,External,DNC6,Arts,17
