A.S. 91040 v2,4.00 cr ,Social Studies 1.2 - Conduct a social inquiry,Social Science Studies,,10SST,Social Studies,Social Science
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,10SST,Social Studies,Social Science
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,10SST,Social Studies,Social Science
U.S. 26625 v2,3.00 cr ,Actively participate in spoken interactions,Core Generic,,10SST,Social Studies,Social Science
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,9ENG,English,English
A.S. 90976 v2,3.00 cr ,Accounting 1.1 - Demonstrate understanding of accounting concepts for small entities,Accounting,External,ACC6,Accounting,Social Science
A.S. 90977 v2,5.00 cr ,Accounting 1.2 - Process financial transactions for a small entity,Accounting,,ACC6,Accounting,Social Science
A.S. 90978 v2,5.00 cr ,Accounting 1.3 - Prepare financial statements for sole proprietors,Accounting,External,ACC6,Accounting,Social Science
A.S. 90979 v2,4.00 cr ,Accounting 1.4 - Prepare financial information for a community organisation's annual general meeting,Accounting,,ACC6,Accounting,Social Science
A.S. 90980 v2,4.00 cr ,Accounting 1.5 - Interpret accounting information for sole proprietors,Accounting,External,ACC6,Accounting,Social Science
A.S. 91174 v1,4.00 cr ,Accounting 2.1 - Demonstrate understanding of accounting concepts for an entity that operates accounting subsystems,Accounting,External,ACC7,Accounting,Social Science
A.S. 91175 v1,4.00 cr ,Accounting 2.2 - Demonstrate understanding of accounting processing using accounting software,Accounting,,ACC7,Accounting,Social Science
A.S. 91176 v1,5.00 cr ,Accounting 2.3 - Prepare financial information for an entity that operates accounting subsystems,Accounting,External,ACC7,Accounting,Social Science
A.S. 91177 v1,4.00 cr ,Accounting 2.4 - Interpret accounting information for entities that operate accounting subsystems,Accounting,External,ACC7,Accounting,Social Science
A.S. 91179 v1,3.00 cr ,Accounting 2.6 - Demonstrate understanding of an accounts receivable subsystem for an entity,Accounting,,ACC7,Accounting,Social Science
A.S. 91481 v1,4.00 cr ,Accounting 2.5 - Demonstrate understanding of a topical accounting issue for decision-making,Accounting,,ACC7,Accounting,Social Science
A.S. 91404 v1,4.00 cr ,Accounting 3.1 - Demonstrate understanding of accounting concepts for a New Zealand reporting entity,Accounting,External,ACC8,Accounting,Social Science
A.S. 91405 v1,4.00 cr ,Accounting 3.2 - Demonstrate understanding of accounting for partnerships,Accounting,,ACC8,Accounting,Social Science
A.S. 91406 v1,5.00 cr ,Accounting 3.3 - Demonstrate understanding of company financial statement preparation,Accounting,External,ACC8,Accounting,Social Science
A.S. 91407 v1,5.00 cr ,Accounting 3.4 - Prepare a report for an external user that interprets the annual report of a New Zealand reporting entity,Accounting,,ACC8,Accounting,Social Science
A.S. 91408 v1,4.00 cr ,Accounting 3.5 - Demonstrate understanding of management accounting to inform decision-making,Accounting,External,ACC8,Accounting,Social Science
A.S. 91409 v1,4.00 cr ,Accounting 3.6 - Demonstrate understanding of a job cost subsystem for an entity,Accounting,,ACC8,Accounting,Social Science
A.S. 90921 v1,5.00 cr ,Agricultural and Horticultural Science 1.6 - Demonstrate knowledge of livestock management practices,Science,External,AGR6,Agriculture,Science
U.S. 17593 v3,4.00 cr ,Apply safe work practices in the workplace,Occupational Health and Safety,,AGR6,Agriculture,Science
U.S. 18191 v3,3.00 cr ,"Demonstrate knowledge of safe handling and health problems of dairy cattle, associated with milking",Agriculture,,AGR6,Agriculture,Science
U.S. 19044 v3,3.00 cr ,Demonstrate knowledge of the legal requirements and hazards associated with tractor use,Agriculture,,AGR6,Agriculture,Science
U.S. 24557 v3,3.00 cr ,Demonstrate knowledge of the safe operation of a quad bike,Agriculture,,AGR6,Agriculture,Science
